timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-29T18:08:30.664,cpu-intensive-1,,Pending,add,2,1Gi
2025-04-29T18:08:30.711,cpu-intensive-1,node-3,Pending,update,2,1Gi
2025-04-29T18:08:30.752,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:08:30.880,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:08:35.617,cpu-intensive-2,,Pending,add,1500m,1Gi
2025-04-29T18:08:35.646,cpu-intensive-2,node-1,Pending,update,1500m,1Gi
2025-04-29T18:08:35.657,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:08:35.783,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:09:00.663,memory-intensive-1,,Pending,add,500m,4Gi
2025-04-29T18:09:00.687,memory-intensive-1,node-2,Pending,update,500m,4Gi
2025-04-29T18:09:00.735,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:09:05.703,memory-intensive-2,,Pending,add,500m,6Gi
2025-04-29T18:09:13.301,memory-intensive-2,node-2,Pending,update,500m,6Gi
2025-04-29T18:09:13.326,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:09:13.465,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:09:30.619,mixed-workload-1,,Pending,add,1,2Gi
2025-04-29T18:09:30.833,mixed-workload-1,node-1,Pending,update,1,2Gi
2025-04-29T18:09:30.844,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:09:30.875,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:09:35.632,mixed-workload-2,,Pending,add,800m,3Gi
2025-04-29T18:09:35.649,mixed-workload-2,node-1,Pending,update,800m,3Gi
2025-04-29T18:09:35.658,mixed-workload-2,node-1,Running,update,800m,3Gi
2025-04-29T18:09:35.678,mixed-workload-2,node-1,Running,update,800m,3Gi
2025-04-29T18:10:30.772,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:10:30.799,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:10:30.844,cpu-intensive-1,node-3,Running,delete,2,1Gi
2025-04-29T18:10:35.673,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:10:35.683,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:10:35.699,cpu-intensive-2,node-1,Running,delete,1500m,1Gi
2025-04-29T18:11:00.747,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:11:00.762,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:11:00.768,memory-intensive-1,node-2,Running,delete,500m,4Gi
2025-04-29T18:11:13.359,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:11:13.380,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:11:13.402,memory-intensive-2,node-2,Running,delete,500m,6Gi
2025-04-29T18:11:30.878,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:11:30.900,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:11:30.904,mixed-workload-1,node-1,Running,delete,1,2Gi
2025-04-29T18:11:35.687,mixed-workload-2,node-1,Running,update,800m,3Gi
2025-04-29T18:11:35.713,mixed-workload-2,node-1,Running,update,800m,3Gi
2025-04-29T18:11:35.738,mixed-workload-2,node-1,Running,delete,800m,3Gi
