timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-29T18:19:48.630,cpu-intensive-1,,Pending,add,2,1Gi
2025-04-29T18:19:48.752,cpu-intensive-1,node-3,Pending,update,2,1Gi
2025-04-29T18:19:48.782,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:19:48.855,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:19:53.611,cpu-intensive-2,,Pending,add,1500m,1Gi
2025-04-29T18:19:53.643,cpu-intensive-2,node-1,Pending,update,1500m,1Gi
2025-04-29T18:19:53.657,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:19:53.694,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:20:18.660,memory-intensive-1,,Pending,add,500m,4Gi
2025-04-29T18:20:18.707,memory-intensive-1,node-2,Pending,update,500m,4Gi
2025-04-29T18:20:18.746,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:20:18.875,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:20:23.622,memory-intensive-2,,Pending,add,500m,6Gi
2025-04-29T18:20:23.639,memory-intensive-2,node-2,Pending,update,500m,6Gi
2025-04-29T18:20:23.647,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:20:23.774,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:20:48.629,mixed-workload-1,,Pending,add,1,2Gi
2025-04-29T18:20:48.674,mixed-workload-1,node-1,Pending,update,1,2Gi
2025-04-29T18:20:48.684,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:20:48.805,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:20:53.614,mixed-workload-2,,Pending,add,800m,3Gi
2025-04-29T18:20:53.646,mixed-workload-2,node-3,Pending,update,800m,3Gi
2025-04-29T18:20:53.655,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:20:53.673,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:21:48.802,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:21:48.821,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:21:48.837,cpu-intensive-1,node-3,Running,delete,2,1Gi
2025-04-29T18:21:53.671,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:21:53.686,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:21:53.704,cpu-intensive-2,node-1,Running,delete,1500m,1Gi
2025-04-29T18:22:18.759,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:22:18.784,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:22:18.785,memory-intensive-1,node-2,Running,delete,500m,4Gi
2025-04-29T18:22:23.663,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:22:23.675,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:22:23.686,memory-intensive-2,node-2,Running,delete,500m,6Gi
2025-04-29T18:22:48.702,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:22:48.729,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:22:48.737,mixed-workload-1,node-1,Running,delete,1,2Gi
2025-04-29T18:22:53.672,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:22:53.691,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:22:53.695,mixed-workload-2,node-3,Running,delete,800m,3Gi
