timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-24T14:12:32.170,pod-0,,Pending,add,1321m,824Mi
2025-04-24T14:12:32.282,pod-0,node-tg96x,Pending,update,1321m,824Mi
2025-04-24T14:12:32.325,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T14:12:32.460,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T14:12:33.129,pod-1,,Pending,add,1006m,512Mi
2025-04-24T14:12:33.148,pod-1,node-vkqxp,Pending,update,1006m,512Mi
2025-04-24T14:12:33.155,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T14:12:33.334,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T14:12:38.153,pod-2,,Pending,add,968m,146Mi
2025-04-24T14:12:38.153,pod-4,,Pending,add,788m,298Mi
2025-04-24T14:12:38.153,pod-3,,Pending,add,1327m,444Mi
2025-04-24T14:12:38.193,pod-2,node-vkqxp,Pending,update,968m,146Mi
2025-04-24T14:12:38.205,pod-4,node-tg96x,Pending,update,788m,298Mi
2025-04-24T14:12:38.216,pod-3,node-vkqxp,Pending,update,1327m,444Mi
2025-04-24T14:12:38.284,pod-3,node-vkqxp,Running,update,1327m,444Mi
2025-04-24T14:12:38.284,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-24T14:12:38.288,pod-4,node-tg96x,Running,update,788m,298Mi
2025-04-24T14:12:38.411,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-24T14:12:38.428,pod-4,node-tg96x,Running,update,788m,298Mi
2025-04-24T14:12:38.445,pod-3,node-vkqxp,Running,update,1327m,444Mi
2025-04-24T14:12:39.118,pod-5,,Pending,add,1124m,416Mi
2025-04-24T14:12:39.134,pod-5,node-tg96x,Pending,update,1124m,416Mi
2025-04-24T14:12:39.140,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-24T14:12:39.431,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-24T14:12:40.118,pod-6,,Pending,add,1163m,502Mi
2025-04-24T14:12:40.160,pod-6,,Pending,update,1163m,502Mi
2025-04-24T14:12:40.210,pod-6,,Pending,update,1163m,502Mi
2025-04-24T14:12:40.341,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T14:12:40.348,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-24T14:12:40.361,pod-0,node-tg96x,Running,delete,1321m,824Mi
2025-04-24T14:12:41.173,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T14:12:41.198,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-24T14:12:41.201,pod-1,node-vkqxp,Running,delete,1006m,512Mi
2025-04-24T14:12:42.159,pod-6,node-tg96x,Pending,update,1163m,502Mi
2025-04-24T14:12:42.160,pod-6,node-tg96x,Running,update,1163m,502Mi
2025-04-24T14:12:42.281,pod-6,node-tg96x,Running,update,1163m,502Mi
2025-04-24T14:12:44.119,pod-7,,Pending,add,591m,246Mi
2025-04-24T14:12:44.139,pod-7,node-vkqxp,Pending,update,591m,246Mi
2025-04-24T14:12:44.144,pod-7,node-vkqxp,Running,update,591m,246Mi
2025-04-24T14:12:44.152,pod-7,node-vkqxp,Running,update,591m,246Mi
2025-04-24T14:12:46.123,pod-9,,Pending,add,668m,323Mi
2025-04-24T14:12:46.123,pod-8,,Pending,add,417m,315Mi
2025-04-24T14:12:46.140,pod-9,node-vkqxp,Pending,update,668m,323Mi
2025-04-24T14:12:46.145,pod-8,node-tg96x,Pending,update,417m,315Mi
2025-04-24T14:12:46.156,pod-9,node-vkqxp,Running,update,668m,323Mi
2025-04-24T14:12:46.161,pod-8,node-tg96x,Running,update,417m,315Mi
2025-04-24T14:12:46.170,pod-9,node-vkqxp,Running,update,668m,323Mi
2025-04-24T14:12:46.187,pod-8,node-tg96x,Running,update,417m,315Mi
2025-04-24T14:12:47.124,pod-10,,Pending,add,1038m,256Mi
2025-04-24T14:12:47.124,pod-11,,Pending,add,506m,381Mi
2025-04-24T14:12:47.160,pod-10,,Pending,update,1038m,256Mi
2025-04-24T14:12:47.174,pod-11,node-tg96x,Pending,update,506m,381Mi
2025-04-24T14:12:47.178,pod-11,node-tg96x,Running,update,506m,381Mi
2025-04-24T14:12:47.188,pod-10,,Pending,update,1038m,256Mi
2025-04-24T14:12:47.206,pod-11,node-tg96x,Running,update,506m,381Mi
2025-04-24T14:12:48.170,pod-12,,Pending,add,482m,419Mi
2025-04-24T14:12:48.170,pod-13,,Pending,add,1198m,654Mi
2025-04-24T14:12:48.198,pod-12,,Pending,update,482m,419Mi
2025-04-24T14:12:48.212,pod-13,,Pending,update,1198m,654Mi
2025-04-24T14:12:48.233,pod-12,,Pending,update,482m,419Mi
2025-04-24T14:12:48.258,pod-13,,Pending,update,1198m,654Mi
2025-04-24T14:12:49.298,pod-3,node-vkqxp,Running,update,1327m,444Mi
2025-04-24T14:12:49.314,pod-3,node-vkqxp,Running,update,1327m,444Mi
2025-04-24T14:12:49.325,pod-3,node-vkqxp,Running,delete,1327m,444Mi
2025-04-24T14:12:50.154,pod-12,node-vkqxp,Pending,update,482m,419Mi
