timestamp,cpu,memory
2025-04-24T14:12:30.139,0.00,0.00
2025-04-24T14:12:33.148,0.25,0.02
2025-04-24T14:12:38.194,0.49,0.02
2025-04-24T14:12:38.216,0.83,0.03
2025-04-24T14:12:41.201,0.57,0.02
2025-04-24T14:12:44.139,0.72,0.03
2025-04-24T14:12:46.140,0.89,0.04
2025-04-24T14:12:49.325,0.56,0.02
2025-04-24T14:12:50.154,0.68,0.03
2025-04-24T14:12:50.162,0.98,0.05
2025-04-24T14:12:54.315,0.73,0.05
2025-04-24T14:12:58.299,0.77,0.06
2025-04-24T14:12:59.238,0.91,0.08
2025-04-24T14:13:03.175,0.77,0.07
2025-04-24T14:13:06.443,0.94,0.09
2025-04-24T14:13:11.355,0.91,0.09
2025-04-24T14:13:18.216,0.75,0.08
2025-04-24T14:13:18.271,0.45,0.06
2025-04-24T14:13:18.459,0.63,0.06
2025-04-24T14:13:20.245,0.51,0.05
2025-04-24T14:13:22.142,0.66,0.06
2025-04-24T14:13:22.471,0.94,0.08
2025-04-24T14:13:23.322,0.79,0.06
2025-04-24T14:13:24.132,1.00,0.08
2025-04-24T14:13:31.528,0.81,0.08
2025-04-24T14:13:36.497,0.92,0.08
2025-04-24T14:13:36.578,0.64,0.07
2025-04-24T14:13:36.587,0.91,0.11
2025-04-24T14:13:41.181,0.76,0.09
2025-04-24T14:13:42.120,0.96,0.10
2025-04-24T14:13:43.491,0.78,0.08
2025-04-24T14:13:47.132,0.94,0.09
2025-04-24T14:13:51.604,0.83,0.08
2025-04-24T14:14:01.631,0.57,0.05
2025-04-24T14:14:04.537,0.88,0.06
2025-04-24T14:14:12.162,0.69,0.05
2025-04-24T14:14:13.542,0.99,0.06
2025-04-24T14:14:19.183,0.78,0.03
2025-04-24T14:14:23.133,1.00,0.05
2025-04-24T14:14:23.594,0.68,0.04
2025-04-24T14:14:23.618,0.96,0.06
2025-04-24T14:14:30.673,0.68,0.04
2025-04-24T14:14:30.685,0.96,0.05
2025-04-24T14:14:31.616,0.66,0.04
2025-04-24T14:14:32.190,0.50,0.03
2025-04-24T14:14:32.193,0.28,0.01
2025-04-24T14:14:33.586,0.58,0.02
2025-04-24T14:14:34.596,0.92,0.03
2025-04-24T14:14:39.714,0.64,0.02
2025-04-24T14:14:41.137,0.81,0.04
2025-04-24T14:14:46.130,0.98,0.06
2025-04-24T14:14:48.197,0.80,0.04
2025-04-24T14:14:52.640,0.46,0.02
2025-04-24T14:14:52.671,0.75,0.04
2025-04-24T14:14:55.622,0.98,0.06
2025-04-24T14:15:09.740,0.69,0.04
2025-04-24T14:15:10.170,0.53,0.02
2025-04-24T14:15:10.646,0.72,0.04
2025-04-24T14:15:11.132,0.94,0.06
2025-04-24T14:15:14.641,0.64,0.05
2025-04-24T14:15:15.648,0.78,0.07
2025-04-24T14:15:19.139,0.97,0.08
2025-04-24T14:15:24.166,0.75,0.06
2025-04-24T14:15:29.671,0.51,0.05
2025-04-24T14:15:29.698,0.38,0.03
2025-04-24T14:15:31.132,0.71,0.06
2025-04-24T14:15:35.694,0.52,0.04
2025-04-24T14:15:36.683,0.85,0.04
2025-04-24T14:15:37.179,0.67,0.03
2025-04-24T14:15:39.699,0.96,0.06
2025-04-24T14:15:46.781,0.67,0.03
2025-04-24T14:15:47.702,0.96,0.04
2025-04-24T14:15:52.732,0.63,0.04
2025-04-24T14:15:53.723,0.96,0.04
2025-04-24T14:16:01.749,0.67,0.03
2025-04-24T14:16:02.734,0.83,0.05
2025-04-24T14:16:03.766,0.50,0.04
2025-04-24T14:16:05.749,0.97,0.05
2025-04-24T14:16:09.167,0.63,0.02
2025-04-24T14:16:11.742,0.94,0.05
2025-04-24T14:16:11.787,0.78,0.04
2025-04-24T14:16:19.129,0.96,0.05
2025-04-24T14:16:23.185,0.78,0.04
2025-04-24T14:16:27.126,0.89,0.04
2025-04-24T14:16:27.809,0.42,0.03
2025-04-24T14:16:28.130,0.59,0.05
2025-04-24T14:16:28.778,0.86,0.06
2025-04-24T14:16:29.790,0.55,0.04
2025-04-24T14:16:32.171,0.45,0.03
2025-04-24T14:16:32.773,0.78,0.04
2025-04-24T14:16:36.880,0.51,0.03
2025-04-24T14:16:37.784,0.85,0.03
2025-04-24T14:16:42.849,0.51,0.02
2025-04-24T14:16:45.800,0.86,0.06
2025-04-24T14:16:52.838,0.51,0.02
2025-04-24T14:16:55.172,0.34,0.00
2025-04-24T14:17:03.836,0.00,0.00
2025-04-24T14:17:03.838,0.00,0.00
