timestamp,cpu,memory
2025-04-24T17:08:21.908,0.00,0.00
2025-04-24T17:08:23.982,0.33,0.03
2025-04-24T17:08:31.264,0.61,0.04
2025-04-24T17:08:31.267,0.94,0.05
2025-04-24T17:08:32.081,0.61,0.03
2025-04-24T17:08:35.880,0.76,0.03
2025-04-24T17:08:37.875,0.93,0.04
2025-04-24T17:08:42.362,0.60,0.03
2025-04-24T17:08:42.377,0.86,0.04
2025-04-24T17:08:45.354,0.57,0.03
2025-04-24T17:08:47.274,0.68,0.03
2025-04-24T17:08:49.261,0.98,0.05
2025-04-24T17:08:54.981,0.87,0.05
2025-04-24T17:08:55.138,0.73,0.04
2025-04-24T17:08:56.294,0.82,0.05
2025-04-24T17:09:00.453,0.56,0.04
2025-04-24T17:09:01.288,0.74,0.06
2025-04-24T17:09:02.888,0.84,0.07
2025-04-24T17:09:09.965,0.67,0.06
2025-04-24T17:09:09.999,1.00,0.06
2025-04-24T17:09:17.313,0.70,0.04
2025-04-24T17:09:18.302,1.00,0.07
2025-04-24T17:09:18.376,0.90,0.06
2025-04-24T17:09:31.381,0.60,0.03
2025-04-24T17:09:31.389,0.92,0.05
2025-04-24T17:09:36.068,0.59,0.05
2025-04-24T17:09:36.388,0.85,0.09
2025-04-24T17:09:38.395,0.68,0.06
2025-04-24T17:09:42.343,0.95,0.08
2025-04-24T17:09:45.026,0.86,0.07
2025-04-24T17:09:50.523,0.54,0.05
2025-04-24T17:09:50.568,0.88,0.06
2025-04-24T17:09:56.617,0.61,0.05
2025-04-24T17:09:59.902,0.78,0.06
2025-04-24T17:10:00.881,0.93,0.06
2025-04-24T17:10:01.489,0.66,0.02
2025-04-24T17:10:03.403,0.99,0.04
2025-04-24T17:10:08.848,0.64,0.02
2025-04-24T17:10:08.927,0.94,0.03
2025-04-24T17:10:19.509,0.62,0.02
2025-04-24T17:10:20.440,0.92,0.03
2025-04-24T17:10:22.968,0.75,0.02
2025-04-24T17:10:23.447,0.85,0.03
2025-04-24T17:10:23.451,0.96,0.05
2025-04-24T17:10:29.929,0.81,0.04
2025-04-24T17:10:31.474,0.98,0.06
2025-04-24T17:10:38.498,0.68,0.05
2025-04-24T17:10:39.474,0.85,0.06
2025-04-24T17:10:48.883,0.94,0.07
2025-04-24T17:10:48.883,1.00,0.08
2025-04-24T17:10:50.069,0.70,0.08
2025-04-24T17:10:50.496,0.89,0.08
2025-04-24T17:10:51.506,0.79,0.07
2025-04-24T17:10:54.523,0.68,0.05
2025-04-24T17:10:55.522,0.86,0.07
2025-04-24T17:10:58.879,0.99,0.08
2025-04-24T17:11:03.529,0.83,0.07
2025-04-24T17:11:04.555,0.65,0.06
2025-04-24T17:11:04.558,0.48,0.04
2025-04-24T17:11:04.874,0.62,0.05
2025-04-24T17:11:05.543,0.81,0.07
2025-04-24T17:11:05.940,0.72,0.06
2025-04-24T17:11:07.551,0.93,0.08
2025-04-24T17:11:12.926,0.80,0.07
2025-04-24T17:11:14.926,0.66,0.06
2025-04-24T17:11:15.866,0.75,0.07
2025-04-24T17:11:20.601,0.53,0.05
2025-04-24T17:11:21.566,0.82,0.07
2025-04-24T17:11:21.926,0.76,0.06
2025-04-24T17:11:22.549,0.57,0.05
2025-04-24T17:11:22.865,0.91,0.08
2025-04-24T17:11:30.826,0.72,0.06
2025-04-24T17:11:31.891,0.99,0.07
2025-04-24T17:11:38.623,0.70,0.05
2025-04-24T17:11:39.686,0.99,0.06
2025-04-24T17:11:39.969,0.72,0.05
2025-04-24T17:11:44.700,0.96,0.06
2025-04-24T17:11:44.895,0.87,0.05
2025-04-24T17:11:53.752,0.58,0.04
2025-04-24T17:11:57.725,0.98,0.06
2025-04-24T17:11:57.768,0.73,0.05
2025-04-24T17:12:00.856,0.99,0.07
2025-04-24T17:12:00.896,0.65,0.05
2025-04-24T17:12:03.735,0.96,0.07
2025-04-24T17:12:06.808,0.56,0.05
2025-04-24T17:12:06.846,0.81,0.06
2025-04-24T17:12:09.887,0.56,0.05
2025-04-24T17:12:10.746,0.89,0.06
2025-04-24T17:12:10.916,0.64,0.03
2025-04-24T17:12:11.749,0.88,0.05
2025-04-24T17:12:12.915,0.56,0.04
2025-04-24T17:12:12.925,0.78,0.04
2025-04-24T17:12:15.765,0.96,0.05
2025-04-24T17:12:19.816,0.78,0.04
2025-04-24T17:12:19.841,0.95,0.06
2025-04-24T17:12:21.930,0.64,0.04
2025-04-24T17:12:23.786,0.75,0.05
2025-04-24T17:12:25.994,0.53,0.04
2025-04-24T17:12:27.848,0.66,0.05
2025-04-24T17:12:28.783,1.00,0.05
2025-04-24T17:12:28.878,0.89,0.04
2025-04-24T17:12:30.805,0.64,0.03
2025-04-24T17:12:46.907,0.47,0.01
2025-04-24T17:12:53.928,0.34,0.00
2025-04-24T17:12:54.841,0.00,0.00
2025-04-24T17:12:54.842,0.00,0.00
