timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-18T22:05:48.518,pod-0,,Pending,add,1321m,824Mi
2025-04-18T22:05:48.548,pod-0,node-tg96x,Pending,update,1321m,824Mi
2025-04-18T22:05:48.573,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-18T22:05:49.487,pod-1,,Pending,add,1006m,512Mi
2025-04-18T22:05:52.597,pod-1,node-vkqxp,Pending,update,1006m,512Mi
2025-04-18T22:05:52.619,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T22:05:52.647,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T22:05:54.509,pod-4,,Pending,add,788m,298Mi
2025-04-18T22:05:54.513,pod-3,,Pending,add,1327m,444Mi
2025-04-18T22:05:54.513,pod-2,,Pending,add,968m,146Mi
2025-04-18T22:05:54.552,pod-3,node-tg96x,Pending,update,1327m,444Mi
2025-04-18T22:05:54.560,pod-4,node-vkqxp,Pending,update,788m,298Mi
2025-04-18T22:05:54.569,pod-2,node-vkqxp,Pending,update,968m,146Mi
2025-04-18T22:05:54.576,pod-3,node-tg96x,Running,update,1327m,444Mi
2025-04-18T22:05:54.576,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-18T22:05:54.586,pod-4,node-vkqxp,Running,update,788m,298Mi
2025-04-18T22:05:54.697,pod-3,node-tg96x,Running,update,1327m,444Mi
2025-04-18T22:05:54.709,pod-4,node-vkqxp,Running,update,788m,298Mi
2025-04-18T22:05:54.722,pod-2,node-vkqxp,Running,update,968m,146Mi
2025-04-18T22:05:55.489,pod-5,,Pending,add,1124m,416Mi
2025-04-18T22:05:55.499,pod-5,node-tg96x,Pending,update,1124m,416Mi
2025-04-18T22:05:55.507,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-18T22:05:55.799,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-18T22:05:56.507,pod-6,,Pending,add,1163m,502Mi
2025-04-18T22:05:56.542,pod-6,node-vkqxp,Pending,update,1163m,502Mi
2025-04-18T22:05:56.565,pod-6,node-vkqxp,Running,update,1163m,502Mi
2025-04-18T22:05:56.582,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-18T22:05:56.590,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-18T22:05:56.594,pod-0,node-tg96x,Running,delete,1321m,824Mi
2025-04-18T22:05:57.015,pod-6,node-vkqxp,Running,update,1163m,502Mi
2025-04-18T22:06:00.486,pod-7,,Pending,add,591m,246Mi
2025-04-18T22:06:00.505,pod-7,node-tg96x,Pending,update,591m,246Mi
2025-04-18T22:06:00.541,pod-7,node-tg96x,Pending,update,591m,246Mi
2025-04-18T22:06:00.553,pod-7,node-tg96x,Running,update,591m,246Mi
2025-04-18T22:06:00.563,pod-7,node-tg96x,Running,update,591m,246Mi
2025-04-18T22:06:00.633,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T22:06:00.639,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T22:06:00.641,pod-1,node-vkqxp,Running,delete,1006m,512Mi
2025-04-18T22:06:02.478,pod-8,,Pending,add,417m,315Mi
2025-04-18T22:06:02.478,pod-9,,Pending,add,668m,323Mi
2025-04-18T22:06:02.501,pod-8,node-vkqxp,Pending,update,417m,315Mi
2025-04-18T22:06:02.511,pod-9,node-tg96x,Pending,update,668m,323Mi
2025-04-18T22:06:02.511,pod-8,node-vkqxp,Running,update,417m,315Mi
2025-04-18T22:06:02.520,pod-9,node-tg96x,Running,update,668m,323Mi
2025-04-18T22:06:02.528,pod-8,node-vkqxp,Running,update,417m,315Mi
2025-04-18T22:06:02.555,pod-9,node-tg96x,Running,update,668m,323Mi
2025-04-18T22:06:03.475,pod-11,,Pending,add,506m,381Mi
2025-04-18T22:06:03.482,pod-10,,Pending,add,1038m,256Mi
2025-04-18T22:06:03.495,pod-11,node-vkqxp,Pending,update,506m,381Mi
