timestamp,cpu,memory
2025-04-18T22:05:46.500,0.00,0.00
2025-04-18T22:05:48.548,0.33,0.03
2025-04-18T22:05:54.552,0.66,0.04
2025-04-18T22:05:55.499,0.94,0.05
2025-04-18T22:05:56.594,0.61,0.03
2025-04-18T22:06:00.505,0.76,0.03
2025-04-18T22:06:02.511,0.93,0.04
2025-04-18T22:06:05.638,0.60,0.03
2025-04-18T22:06:06.580,0.86,0.04
2025-04-18T22:06:09.549,0.57,0.03
2025-04-18T22:06:13.606,0.87,0.05
2025-04-18T22:06:19.552,0.97,0.06
2025-04-18T22:06:19.588,0.82,0.05
2025-04-18T22:06:24.653,0.56,0.04
2025-04-18T22:06:26.500,0.89,0.04
2025-04-18T22:06:27.495,0.99,0.05
2025-04-18T22:06:34.563,0.82,0.04
2025-04-18T22:06:38.489,0.97,0.06
2025-04-18T22:06:41.573,0.87,0.05
2025-04-18T22:06:41.642,0.57,0.03
2025-04-18T22:06:42.647,0.87,0.05
2025-04-18T22:06:43.515,0.98,0.06
2025-04-18T22:06:52.552,0.65,0.06
2025-04-18T22:06:52.564,0.97,0.07
2025-04-18T22:06:55.713,0.67,0.05
2025-04-18T22:06:56.671,0.95,0.06
2025-04-18T22:06:57.535,0.80,0.04
2025-04-18T22:06:58.489,0.99,0.06
2025-04-18T22:06:58.549,0.89,0.05
2025-04-18T22:07:08.611,0.56,0.04
2025-04-18T22:07:09.587,0.47,0.03
2025-04-18T22:07:10.691,0.79,0.04
2025-04-18T22:07:10.745,0.51,0.03
2025-04-18T22:07:12.688,0.85,0.04
2025-04-18T22:07:28.532,0.66,0.03
2025-04-18T22:07:28.547,0.86,0.04
2025-04-18T22:07:29.747,0.54,0.03
2025-04-18T22:07:30.738,0.20,0.01
2025-04-18T22:07:32.489,0.48,0.04
2025-04-18T22:07:32.704,0.78,0.04
2025-04-18T22:07:32.704,0.96,0.05
2025-04-18T22:07:39.519,0.68,0.03
2025-04-18T22:07:40.718,0.97,0.04
2025-04-18T22:07:50.767,0.67,0.03
2025-04-18T22:07:52.604,0.47,0.01
2025-04-18T22:07:52.740,0.75,0.03
2025-04-18T22:07:55.792,0.58,0.02
2025-04-18T22:07:57.489,0.75,0.04
2025-04-18T22:08:01.795,0.47,0.03
2025-04-18T22:08:01.813,0.76,0.05
2025-04-18T22:08:02.493,0.93,0.07
2025-04-18T22:08:04.523,0.75,0.04
2025-04-18T22:08:12.491,0.99,0.05
2025-04-18T22:08:18.875,0.70,0.03
2025-04-18T22:08:18.893,1.00,0.05
2025-04-18T22:08:21.791,0.70,0.04
2025-04-18T22:08:23.491,0.84,0.06
2025-04-18T22:08:25.535,0.60,0.05
2025-04-18T22:08:25.821,0.91,0.05
2025-04-18T22:08:26.558,0.74,0.03
2025-04-18T22:08:26.844,0.93,0.06
2025-04-18T22:08:37.530,0.79,0.04
2025-04-18T22:08:37.830,0.95,0.05
2025-04-18T22:08:38.854,0.64,0.05
2025-04-18T22:08:39.828,0.98,0.06
2025-04-18T22:08:46.938,0.68,0.04
2025-04-18T22:08:49.877,0.34,0.03
2025-04-18T22:08:50.846,0.53,0.04
2025-04-18T22:08:51.481,0.83,0.07
2025-04-18T22:08:51.972,0.63,0.04
2025-04-18T22:08:53.480,0.79,0.06
2025-04-18T22:08:58.527,0.49,0.03
2025-04-18T22:08:59.851,0.83,0.04
2025-04-18T22:09:08.916,0.64,0.02
2025-04-18T22:09:09.897,0.31,0.02
2025-04-18T22:09:10.479,0.51,0.04
2025-04-18T22:09:12.491,0.90,0.06
2025-04-18T22:09:15.879,0.75,0.05
2025-04-18T22:09:17.481,0.91,0.06
2025-04-18T22:09:21.532,0.52,0.04
2025-04-18T22:09:22.483,0.81,0.06
2025-04-18T22:09:23.512,0.65,0.04
2025-04-18T22:09:25.625,0.45,0.03
2025-04-18T22:09:25.646,0.70,0.05
2025-04-18T22:09:26.532,0.54,0.04
2025-04-18T22:09:30.513,0.76,0.06
2025-04-18T22:09:30.513,0.97,0.07
2025-04-18T22:09:31.572,0.76,0.06
2025-04-18T22:09:33.477,0.99,0.08
2025-04-18T22:09:35.699,0.74,0.05
2025-04-18T22:09:35.713,0.99,0.06
2025-04-18T22:09:38.764,0.74,0.05
2025-04-18T22:09:38.773,0.99,0.07
2025-04-18T22:09:41.548,0.70,0.05
2025-04-18T22:09:44.478,0.87,0.07
2025-04-18T22:09:49.578,0.65,0.05
2025-04-18T22:09:52.492,0.78,0.06
2025-04-18T22:09:55.521,0.55,0.04
2025-04-18T22:09:57.824,0.31,0.03
2025-04-18T22:10:02.952,0.64,0.03
2025-04-18T22:10:11.526,0.47,0.01
2025-04-18T22:10:18.574,0.34,0.00
2025-04-18T22:10:29.016,0.00,0.00
2025-04-18T22:10:29.017,0.00,0.00
