timestamp,cpu,memory
2025-04-18T22:05:46.500,0.00,0.00
2025-04-18T22:05:52.597,0.25,0.02
2025-04-18T22:05:54.560,0.45,0.02
2025-04-18T22:05:54.569,0.69,0.03
2025-04-18T22:05:56.542,0.98,0.04
2025-04-18T22:06:00.641,0.73,0.03
2025-04-18T22:06:02.501,0.83,0.04
2025-04-18T22:06:03.495,0.96,0.05
2025-04-18T22:06:06.533,0.86,0.04
2025-04-18T22:06:08.601,0.98,0.05
2025-04-18T22:06:10.606,0.73,0.05
2025-04-18T22:06:14.489,0.77,0.06
2025-04-18T22:06:15.494,0.91,0.08
2025-04-18T22:06:24.611,0.62,0.06
2025-04-18T22:06:26.500,0.81,0.07
2025-04-18T22:06:26.629,0.99,0.09
2025-04-18T22:06:27.555,0.96,0.08
2025-04-18T22:06:34.619,0.76,0.07
2025-04-18T22:06:36.645,0.89,0.09
2025-04-18T22:06:38.629,0.77,0.08
2025-04-18T22:06:39.542,0.62,0.06
2025-04-18T22:06:39.549,0.43,0.05
2025-04-18T22:06:39.628,0.69,0.08
2025-04-18T22:06:40.486,0.90,0.10
2025-04-18T22:06:40.524,0.78,0.09
2025-04-18T22:06:43.515,0.89,0.10
2025-04-18T22:06:47.583,0.78,0.09
2025-04-18T22:06:53.489,0.98,0.10
2025-04-18T22:07:01.676,0.72,0.08
2025-04-18T22:07:03.485,0.88,0.09
2025-04-18T22:07:03.667,0.70,0.07
2025-04-18T22:07:05.680,0.97,0.11
2025-04-18T22:07:07.701,0.84,0.09
2025-04-18T22:07:11.530,0.64,0.07
2025-04-18T22:07:14.488,0.84,0.09
2025-04-18T22:07:25.490,0.99,0.09
2025-04-18T22:07:30.727,0.72,0.05
2025-04-18T22:07:33.489,0.98,0.07
2025-04-18T22:07:35.529,0.77,0.05
2025-04-18T22:07:39.489,0.99,0.07
2025-04-18T22:07:48.547,0.82,0.06
2025-04-18T22:07:48.549,0.61,0.04
2025-04-18T22:07:48.593,0.94,0.04
2025-04-18T22:07:51.543,0.73,0.03
2025-04-18T22:07:54.484,0.91,0.04
2025-04-18T22:07:54.530,0.76,0.03
2025-04-18T22:07:55.531,0.50,0.01
2025-04-18T22:07:55.763,0.61,0.03
2025-04-18T22:07:55.770,0.71,0.04
2025-04-18T22:07:57.494,0.88,0.05
2025-04-18T22:08:04.623,0.55,0.04
2025-04-18T22:08:05.775,0.78,0.06
2025-04-18T22:08:12.497,0.95,0.08
2025-04-18T22:08:21.541,0.78,0.06
2025-04-18T22:08:23.808,0.84,0.07
2025-04-18T22:08:23.813,0.93,0.08
2025-04-18T22:08:23.870,0.83,0.07
2025-04-18T22:08:26.911,0.72,0.05
2025-04-18T22:08:27.496,0.94,0.07
2025-04-18T22:08:27.547,0.77,0.05
2025-04-18T22:08:29.496,0.91,0.06
2025-04-18T22:08:39.536,0.77,0.05
2025-04-18T22:08:39.838,0.53,0.04
2025-04-18T22:08:40.489,0.62,0.05
2025-04-18T22:08:40.535,0.41,0.03
2025-04-18T22:08:40.840,0.77,0.05
2025-04-18T22:08:40.877,0.67,0.04
2025-04-18T22:08:42.849,0.86,0.04
2025-04-18T22:08:56.896,0.80,0.03
2025-04-18T22:08:56.896,0.44,0.02
2025-04-18T22:08:57.856,0.71,0.03
2025-04-18T22:09:00.508,0.87,0.04
2025-04-18T22:09:05.580,0.71,0.03
2025-04-18T22:09:05.894,0.44,0.02
2025-04-18T22:09:06.870,0.73,0.03
2025-04-18T22:09:07.546,0.57,0.03
2025-04-18T22:09:08.872,0.90,0.04
2025-04-18T22:09:09.522,0.81,0.03
2025-04-18T22:09:10.936,0.48,0.02
2025-04-18T22:09:12.491,0.65,0.02
2025-04-18T22:09:14.891,0.99,0.05
2025-04-18T22:09:14.894,0.80,0.04
2025-04-18T22:09:20.957,0.51,0.03
2025-04-18T22:09:20.970,0.77,0.04
2025-04-18T22:09:23.018,0.51,0.03
2025-04-18T22:09:23.481,0.82,0.06
2025-04-18T22:09:41.529,0.51,0.03
2025-04-18T22:09:43.472,0.62,0.04
2025-04-18T22:09:43.933,0.80,0.05
2025-04-18T22:09:45.532,0.63,0.05
2025-04-18T22:09:45.932,0.85,0.05
2025-04-18T22:09:47.978,0.67,0.04
2025-04-18T22:09:52.491,0.56,0.04
2025-04-18T22:09:52.937,0.91,0.07
2025-04-18T22:09:52.942,0.57,0.04
2025-04-18T22:09:58.969,0.35,0.03
2025-04-18T22:09:59.983,0.00,0.00
2025-04-18T22:10:00.948,0.47,0.01
2025-04-18T22:10:23.024,0.00,0.00
2025-04-18T22:10:29.017,0.00,0.00
