timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-18T21:52:27.433,pod-0,,Pending,add,1321m,824Mi
2025-04-18T21:52:27.560,pod-0,node-tg96x,Pending,update,1321m,824Mi
2025-04-18T21:52:27.670,pod-0,node-tg96x,Pending,update,1321m,824Mi
2025-04-18T21:52:27.686,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-18T21:52:27.694,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-18T21:52:28.363,pod-1,,Pending,add,1006m,512Mi
2025-04-18T21:52:28.373,pod-1,node-vkqxp,Pending,update,1006m,512Mi
2025-04-18T21:52:28.387,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T21:52:28.512,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T21:52:33.397,pod-4,,Pending,add,788m,298Mi
2025-04-18T21:52:33.397,pod-2,,Pending,add,968m,146Mi
2025-04-18T21:52:33.397,pod-3,,Pending,add,1327m,444Mi
2025-04-18T21:52:33.434,pod-4,node-vkqxp,Pending,update,788m,298Mi
2025-04-18T21:52:33.447,pod-2,node-tg96x,Pending,update,968m,146Mi
2025-04-18T21:52:33.449,pod-4,node-vkqxp,Running,update,788m,298Mi
2025-04-18T21:52:33.453,pod-3,node-vkqxp,Pending,update,1327m,444Mi
2025-04-18T21:52:33.461,pod-2,node-tg96x,Running,update,968m,146Mi
2025-04-18T21:52:33.463,pod-3,node-vkqxp,Running,update,1327m,444Mi
2025-04-18T21:52:33.577,pod-4,node-vkqxp,Running,update,788m,298Mi
2025-04-18T21:52:33.594,pod-2,node-tg96x,Running,update,968m,146Mi
2025-04-18T21:52:33.612,pod-3,node-vkqxp,Running,update,1327m,444Mi
2025-04-18T21:52:34.393,pod-5,,Pending,add,1124m,416Mi
2025-04-18T21:52:34.400,pod-5,node-tg96x,Pending,update,1124m,416Mi
2025-04-18T21:52:34.408,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-18T21:52:34.655,pod-5,node-tg96x,Running,update,1124m,416Mi
2025-04-18T21:52:35.361,pod-6,,Pending,add,1163m,502Mi
2025-04-18T21:52:35.396,pod-6,,Pending,update,1163m,502Mi
2025-04-18T21:52:35.445,pod-6,,Pending,update,1163m,502Mi
2025-04-18T21:52:35.698,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-18T21:52:35.708,pod-0,node-tg96x,Running,update,1321m,824Mi
2025-04-18T21:52:35.716,pod-0,node-tg96x,Running,delete,1321m,824Mi
2025-04-18T21:52:36.402,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T21:52:36.412,pod-1,node-vkqxp,Running,update,1006m,512Mi
2025-04-18T21:52:36.419,pod-1,node-vkqxp,Running,delete,1006m,512Mi
2025-04-18T21:52:37.029,pod-6,node-tg96x,Pending,update,1163m,502Mi
2025-04-18T21:52:37.048,pod-6,node-tg96x,Running,update,1163m,502Mi
2025-04-18T21:52:37.265,pod-6,node-tg96x,Running,update,1163m,502Mi
2025-04-18T21:52:39.369,pod-7,,Pending,add,591m,246Mi
2025-04-18T21:52:39.380,pod-7,node-vkqxp,Pending,update,591m,246Mi
2025-04-18T21:52:39.391,pod-7,node-vkqxp,Running,update,591m,246Mi
2025-04-18T21:52:39.516,pod-7,node-vkqxp,Running,update,591m,246Mi
2025-04-18T21:52:41.363,pod-8,,Pending,add,417m,315Mi
2025-04-18T21:52:41.363,pod-9,,Pending,add,668m,323Mi
2025-04-18T21:52:41.377,pod-8,node-vkqxp,Pending,update,417m,315Mi
2025-04-18T21:52:41.380,pod-9,node-vkqxp,Pending,update,668m,323Mi
2025-04-18T21:52:41.388,pod-8,node-vkqxp,Running,update,417m,315Mi
2025-04-18T21:52:41.392,pod-9,node-vkqxp,Running,update,668m,323Mi
2025-04-18T21:52:41.404,pod-8,node-vkqxp,Running,update,417m,315Mi
2025-04-18T21:52:41.417,pod-9,node-vkqxp,Running,update,668m,323Mi
2025-04-18T21:52:42.358,pod-10,,Pending,add,1038m,256Mi
2025-04-18T21:52:42.361,pod-11,,Pending,add,506m,381Mi
2025-04-18T21:52:42.379,pod-10,,Pending,update,1038m,256Mi
2025-04-18T21:52:42.383,pod-11,node-tg96x,Pending,update,506m,381Mi
2025-04-18T21:52:42.388,pod-11,node-tg96x,Running,update,506m,381Mi
2025-04-18T21:52:42.391,pod-10,,Pending,update,1038m,256Mi
