timestamp,cpu,memory
2025-04-18T21:52:25.422,0.00,0.00
2025-04-18T21:52:28.373,0.25,0.02
2025-04-18T21:52:33.434,0.45,0.02
2025-04-18T21:52:33.453,0.78,0.04
2025-04-18T21:52:36.419,0.53,0.02
2025-04-18T21:52:38.623,0.53,0.02
2025-04-18T21:52:39.380,0.68,0.03
2025-04-18T21:52:41.377,0.78,0.04
2025-04-18T21:52:41.380,0.95,0.05
2025-04-18T21:52:44.495,0.62,0.04
2025-04-18T21:52:45.034,0.74,0.05
2025-04-18T21:52:45.433,0.63,0.04
2025-04-18T21:52:47.042,0.89,0.05
2025-04-18T21:52:58.576,0.74,0.04
2025-04-18T21:53:02.877,0.92,0.06
2025-04-18T21:53:05.109,0.66,0.05
2025-04-18T21:53:05.361,0.99,0.06
2025-04-18T21:53:13.426,0.83,0.05
2025-04-18T21:53:13.469,0.63,0.04
2025-04-18T21:53:15.079,0.51,0.02
2025-04-18T21:53:15.889,0.64,0.05
2025-04-18T21:53:17.366,0.79,0.06
2025-04-18T21:53:22.377,0.90,0.07
2025-04-18T21:53:26.438,0.79,0.06
2025-04-18T21:53:31.424,0.46,0.06
2025-04-18T21:53:32.605,0.73,0.07
2025-04-18T21:53:32.636,0.84,0.08
2025-04-18T21:53:36.401,0.69,0.06
2025-04-18T21:53:37.371,0.89,0.08
2025-04-18T21:53:39.948,0.71,0.06
2025-04-18T21:53:41.618,0.97,0.09
2025-04-18T21:53:46.642,0.70,0.08
2025-04-18T21:53:46.934,0.57,0.06
2025-04-18T21:53:47.660,0.46,0.05
2025-04-18T21:53:49.670,0.78,0.07
2025-04-18T21:53:50.673,0.98,0.08
2025-04-18T21:54:06.662,0.71,0.04
2025-04-18T21:54:07.399,0.52,0.03
2025-04-18T21:54:08.760,0.20,0.01
2025-04-18T21:54:08.765,0.00,0.00
2025-04-18T21:54:08.792,0.15,0.01
2025-04-18T21:54:08.797,0.45,0.01
2025-04-18T21:54:11.368,0.73,0.04
2025-04-18T21:54:12.378,0.98,0.05
2025-04-18T21:54:18.397,0.71,0.03
2025-04-18T21:54:22.366,0.99,0.05
2025-04-18T21:54:26.813,0.69,0.04
2025-04-18T21:54:31.394,0.41,0.03
2025-04-18T21:54:33.070,0.77,0.04
2025-04-18T21:54:33.366,0.94,0.05
2025-04-18T21:54:34.422,0.68,0.03
2025-04-18T21:54:36.375,0.84,0.04
2025-04-18T21:54:37.845,0.70,0.03
2025-04-18T21:54:38.077,0.87,0.05
2025-04-18T21:54:45.104,0.70,0.03
2025-04-18T21:54:45.114,0.99,0.05
2025-04-18T21:54:49.113,0.63,0.04
2025-04-18T21:54:50.100,0.79,0.05
2025-04-18T21:54:51.380,0.97,0.07
2025-04-18T21:55:00.419,0.79,0.05
2025-04-18T21:55:02.177,0.50,0.03
2025-04-18T21:55:02.368,0.64,0.05
2025-04-18T21:55:02.378,0.97,0.05
2025-04-18T21:55:06.404,0.80,0.04
2025-04-18T21:55:08.127,0.99,0.06
2025-04-18T21:55:12.418,0.66,0.06
2025-04-18T21:55:13.148,0.96,0.06
2025-04-18T21:55:14.139,0.80,0.04
2025-04-18T21:55:15.370,0.95,0.05
2025-04-18T21:55:16.410,0.81,0.04
2025-04-18T21:55:19.369,0.90,0.04
2025-04-18T21:55:26.176,0.60,0.04
2025-04-18T21:55:26.362,0.94,0.07
2025-04-18T21:55:33.178,0.74,0.05
2025-04-18T21:55:46.425,0.58,0.04
2025-04-18T21:55:48.207,0.91,0.05
2025-04-18T21:55:48.409,0.82,0.04
2025-04-18T21:55:50.261,0.49,0.04
2025-04-18T21:55:51.226,0.96,0.05
2025-04-18T21:55:53.409,0.81,0.04
2025-04-18T21:55:56.221,0.98,0.04
2025-04-18T21:56:04.381,0.65,0.01
2025-04-18T21:56:05.252,0.81,0.03
2025-04-18T21:56:13.310,0.33,0.02
2025-04-18T21:56:13.319,0.55,0.04
2025-04-18T21:56:13.321,0.76,0.05
2025-04-18T21:56:14.260,0.99,0.06
2025-04-18T21:56:14.291,0.83,0.05
2025-04-18T21:56:14.354,0.62,0.04
2025-04-18T21:56:15.266,0.87,0.05
2025-04-18T21:56:22.360,0.98,0.06
2025-04-18T21:56:27.411,0.87,0.05
2025-04-18T21:56:29.270,0.70,0.05
2025-04-18T21:56:31.301,0.88,0.06
2025-04-18T21:56:32.342,0.66,0.04
2025-04-18T21:56:33.299,0.88,0.04
2025-04-18T21:56:34.310,0.63,0.03
2025-04-18T21:56:35.341,0.45,0.02
2025-04-18T21:56:36.306,0.22,0.01
2025-04-18T21:56:41.306,0.57,0.04
2025-04-18T21:56:46.339,0.35,0.03
2025-04-18T21:56:48.348,0.00,0.00
2025-04-18T21:56:59.358,0.00,0.00
