timestamp,pod_name,node_name,phase,event_type,cpu_req,mem_req
2025-04-29T18:01:53.152,cpu-intensive-1,,Pending,add,2,1Gi
2025-04-29T18:01:53.235,cpu-intensive-1,node-3,Pending,update,2,1Gi
2025-04-29T18:01:53.350,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:01:53.507,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:01:58.031,cpu-intensive-2,,Pending,add,1500m,1Gi
2025-04-29T18:01:58.877,cpu-intensive-2,node-1,Pending,update,1500m,1Gi
2025-04-29T18:01:58.888,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:01:58.926,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:02:23.055,memory-intensive-1,,Pending,add,500m,4Gi
2025-04-29T18:02:23.122,memory-intensive-1,node-2,Pending,update,500m,4Gi
2025-04-29T18:02:23.154,memory-intensive-1,node-2,Pending,update,500m,4Gi
2025-04-29T18:02:23.154,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:02:23.171,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:02:28.050,memory-intensive-2,,Pending,add,500m,6Gi
2025-04-29T18:02:28.069,memory-intensive-2,node-2,Pending,update,500m,6Gi
2025-04-29T18:02:28.086,memory-intensive-2,node-2,Pending,update,500m,6Gi
2025-04-29T18:02:28.099,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:02:28.112,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:02:53.027,mixed-workload-1,,Pending,add,1,2Gi
2025-04-29T18:02:53.075,mixed-workload-1,node-1,Pending,update,1,2Gi
2025-04-29T18:02:53.116,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:02:53.238,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:02:58.049,mixed-workload-2,,Pending,add,800m,3Gi
2025-04-29T18:02:58.075,mixed-workload-2,node-3,Pending,update,800m,3Gi
2025-04-29T18:02:58.083,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:02:58.093,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:03:53.385,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:03:53.428,cpu-intensive-1,node-3,Running,update,2,1Gi
2025-04-29T18:03:53.462,cpu-intensive-1,node-3,Running,delete,2,1Gi
2025-04-29T18:03:58.925,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:03:58.957,cpu-intensive-2,node-1,Running,update,1500m,1Gi
2025-04-29T18:03:58.971,cpu-intensive-2,node-1,Running,delete,1500m,1Gi
2025-04-29T18:04:23.182,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:04:23.209,memory-intensive-1,node-2,Running,update,500m,4Gi
2025-04-29T18:04:23.219,memory-intensive-1,node-2,Running,delete,500m,4Gi
2025-04-29T18:04:28.135,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:04:28.161,memory-intensive-2,node-2,Running,update,500m,6Gi
2025-04-29T18:04:28.176,memory-intensive-2,node-2,Running,delete,500m,6Gi
2025-04-29T18:04:53.155,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:04:53.217,mixed-workload-1,node-1,Running,update,1,2Gi
2025-04-29T18:04:53.222,mixed-workload-1,node-1,Running,delete,1,2Gi
2025-04-29T18:04:58.107,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:04:58.130,mixed-workload-2,node-3,Running,update,800m,3Gi
2025-04-29T18:04:58.136,mixed-workload-2,node-3,Running,delete,800m,3Gi
